deagle,1090,1,100,0.00001
elite,0,1,1000,0.00001
fiveseven,0,1,1000,0.00001
glock,752,1,1000,0.00001
ak47,724,1,1000,0.00001
aug,455,1,1000,0.00001
awp,344,1,1000,0.00001
famas,723,1,1000,0.00001
g3sg1,897,1,1000,0.00001
galil,297,1,1000,0.00001
m249,500,1,1000,0.00001
m4a1,1228,1,1000,0.00001
mac10,898,1,1000,0.00001
p90,156,1,1000,0.00001
mp5,416,1,1000,0.00001
ump45,415,1,1000,0.00001
xm1014,500,1,1000,0.00001
bizon,1125,1,1000,0.00001
mag7,500,1,1000,0.00001
negev,500,1,1000,0.00001
sawedoff,500,1,1000,0.00001
tec9,555,1,1000,0.00001
hkp2000,500,1,1000,0.00001
mp7,696,1,1000,0.00001
mp9,1037,1,1000,0.00001
nova,500,1,1000,0.00001
p250,1153,1,1000,0.00001
scar20,500,1,1000,0.00001
sg556,897,1,1000,0.00001
ssg08,1101,1,1000,0.00001
m4a1s,430,1,1000,0.00001
usps,1142,1,1000,0.00001
cz75a,643,1,1000,0.00001
revolver,500,1,1000,0.00001
karambit,413,412,1001,0.00001
